index,title,zipCode,neighborhood,councilDistrict,policeDistrict,Location
924,PETTIFORD'S SEAFOOD & SOUL FOOD,21218,East Baltimore Midway,12,EASTERN,"2002 HARFORD RD
Baltimore, MD"
925,PF CHANGS CHINA BISTRO,21202,Inner Harbor,11,CENTRAL,"600 PRATT ST
Baltimore, MD"
926,PHANTOM'S BAR AND GRILL,21213,Belair-Edison,3,NORTHEASTERN,"3539 BELAIR RD
Baltimore, MD"
927,PHILLIP'S EXPRESS BUFFET,21202,Inner Harbor,11,CENTRAL,"301 light
Baltimore, MD"
928,PHILLIP'S OF HARBOR PLACE,21202,Inner Harbor,11,CENTRAL,"301 light st
Baltimore, MD"
929,PICCADELIS,21201,Mount Vernon,11,CENTRAL,"202 READ ST
Baltimore, MD"
930,PICKLES PUB,21230,Inner Harbor,11,SOUTHERN,"520 WASHINGTON BLVD
Baltimore, MD"
931,PIER 5 HOTEL,21202,Inner Harbor,11,CENTRAL,"711 EASTERN AVE
Baltimore, MD"
932,PIMLICO TRACK KITCHEN  (PIMLICO RACE COURSE),21215,Pimlico Good Neighbors,5,NORTHWESTERN,"Haward Ave
Baltimore, MD"
933,PIZZA PRESTO,21224,Pulaski Industrial Area,2,SOUTHEASTERN,"6500 EASTERN AVENUE
Baltimore, MD"
934,PIZZERIA UNO,21202,Inner Harbor,11,CENTRAL,"201 PRATT ST
Baltimore, MD"
935,"PLAZA SALOON, INC.",21202,Downtown,11,CENTRAL,"404 BALTIMORE ST
Baltimore, MD"
936,"POLISH NATIONAL ALLIANCE, COUNCIL 21",21231,Fells Point,1,SOUTHEASTERN,"1627 EASTERN AVE
Baltimore, MD"
937,POLLO REAL,21224,Baltimore Highlands,2,SOUTHEASTERN,"101 EATON ST
Baltimore, MD"
938,POLOCK JOHNNY'S,21230,Morrell Park,10,SOUTHWESTERN,"3212 WASHINGTON BLVD
Baltimore, MD"
939,POL'S CAF?�,21224,Canton,1,SOUTHEASTERN,"2619 21 FOSTER AVE
Baltimore, MD"
